"DA","PA","TB","TS","RH","PM","RR","max90","Gruppe"
333.3996,143.4798,18.54862,18.8,71.34753,11.94165,0.3695652,4989,"F"
1177.1,78.84974,18.06766,18.8,63.16289,5.993948,0.4724919,18700,"D"
2123.997,103.8422,20.65899,21,71.42018,6.324416,0.3977273,25400,"F"
1067.474,90.26212,18.81458,19.7,63.74104,6.067503,0.4755245,16930,"E"
1808.286,85.35908,21.3073,21.6,73.42427,4.813886,0.3584906,16700,"F"
1961.433,72.11567,18.36556,19.8,58.2058,4.079078,0.6675258,16900,"D"
1799.09,65.15944,18.9186,19.4,57.25026,3.651565,0.6595745,14940,"D"
1028.286,81.76716,17.87001,19.3,59.07852,4.837769,0.6864865,9684,"D"
249.1146,84.28884,18.46048,19.1,61.25055,5.310055,0.3271605,6306,"E"
96.2577,72.44487,2.883262,5.2,51.44687,7.781786,0.5147502,288.4,"A"
444.9591,86.08022,2.460026,5.4,49.14048,8.203212,0.4744958,1224,"A"
198.0621,68.56855,5.846371,8.4,50.7962,5.940367,0.369146,621.8,"B"
432.8928,100.396,1.98579,4,55.7965,11.73056,0.4700461,2625,"A"
398.3094,58.17142,1.454033,2.2,50.01533,6.314019,0.3274611,693.7,"A"
333.153,72.15366,1.172842,2.4,51.01735,7.89236,0.3789894,1134,"A"
4804.927,51.73837,9.696612,13.2,41.10979,2.758908,0.4617834,9118,"B"
236.4192,75.93198,3.865026,7.6,50.31801,9.64222,0.5467706,623.6,"A"
208.6857,66.45961,5.792875,9.5,52.42352,9.602887,0.5552505,558.9,"B"
241.5123,37.77555,15.6805,20.5,41.92522,6.021993,0.451426,672.9,"C"
22.4568,48.65041,14.64689,18.7,42.49874,9.010204,0.4932638,121.2,"C"
59.4639,67.56035,11.65094,13.5,44.26267,12.50745,0.4211823,914.8,"C"
64.7784,76.99576,5.029097,6.2,45.17405,9.765342,0.5580328,626.3,"B"
454.5207,54.54962,7.233302,8.8,56.34029,6.765173,0.2991968,1015,"B"
27.6027,97.64347,5.423352,6,54.80857,15.2507,0.281471,254,"B"
528.894,69.63357,6.618336,8.7,63.5038,8.858002,0.3165165,1852,"B"
117.7605,76.1086,12.79378,14.4,45.45666,16.06235,0.3421892,700.4,"C"
41.5665,78.84709,15.09659,16.4,54.30813,16.15581,0.4523975,843.9,"D"
